TCA_address,TCA_channel,MCP_address,Electrode_id,Role,MCP_GPIO
None,0,0x20,1.0,X,None
None,0,0x20,2.0,X,None
None,0,0x20,3.0,X,None
None,0,0x20,4.0,X,None
None,0,0x20,5.0,X,None
None,0,0x20,6.0,X,None
None,0,0x20,7.0,X,None
None,0,0x20,8.0,X,None
None,0,0x20,1.0,Y,None
None,0,0x20,2.0,Y,None
None,0,0x20,3.0,Y,None
None,0,0x20,4.0,Y,None
None,0,0x20,5.0,Y,None
None,0,0x20,6.0,Y,None
None,0,0x20,7.0,Y,None
None,0,0x20,8.0,Y,None
None,0,0x21,8.0,XX,None
None,0,0x21,7.0,XX,None
None,0,0x21,6.0,XX,None
None,0,0x21,5.0,XX,None
None,0,0x21,4.0,XX,None
None,0,0x21,3.0,XX,None
None,0,0x21,2.0,XX,None
None,0,0x21,1.0,XX,None
None,0,0x21,8.0,YY,None
None,0,0x21,7.0,YY,None
None,0,0x21,6.0,YY,None
None,0,0x21,5.0,YY,None
None,0,0x21,4.0,YY,None
None,0,0x21,3.0,YY,None
None,0,0x21,2.0,YY,None
None,0,0x21,1.0,YY,None
